text,response,欄1
我是檢察官，現在依法凍結您的所有資產，請將資金轉入公正監管帳戶。,"這是「假檢警監管帳戶」詐騙，請**立刻掛斷電話，這是詐騙集團的慣用話術**。
檢察官或司法機關絕不會要求民眾將個人資金轉入任何「監管帳戶」或要求提領現金交付，請撥打 165 專線求證。",80
我是郵局，您的掛號信裡面有違禁品，現在警察要過去找您了。,"這是典型的「假冒公務機關恐嚇」詐騙，請**直接掛斷電話，這是詐騙話術**。
郵局不會檢查您的信件內容，警察也不會這樣通知民眾，若有疑慮，請撥打 165 反詐騙專線查證。",80
我是電信警察，偵測到您的寬頻網路正在散佈惡意病毒，請立刻配合檢查。,"這是「假冒公務機關」詐騙，請**立刻掛斷電話，電信警察不會主動以電話方式進行此類通知或檢查**。
若有任何網路或電腦安全疑慮，請自行透過正規管道聯繫您的電信業者或撥打 165 反詐騙專線求證。",100
您的包裹涉嫌夾帶毒品，警方現在已經立案，請不要掛斷電話，轉接刑警。,"這是典型的「假檢警」詐騙，請**立刻掛斷電話，這是詐騙話術**。
郵局或海關不會以電話通知包裹內有違禁品，警方或刑警也不會用這種方式立案及轉接，請撥打 165 反詐騙專線。",80
我是警衛，有警察拿著搜索票要進來搜您家，您現在在家嗎？,"這是「假警衛」或「假檢警」詐騙，請**立刻掛斷電話，這是恐嚇手法**。
如果真有員警持搜索票上門，對方應會出示證件和法院文件，請您務必與親友聯繫並撥打 165 專線求證。",80
您的健保卡被盜用去領管制藥品，現在警察要過去抓你了，不想留案底就快點和解。,"這是「假健保局結合假檢警」詐騙，請**立刻掛斷電話，這是恐嚇取財的話術**。
真正的公務機關不會要求您因擔心留案底而「和解」或匯款，若有疑慮請撥打 165 反詐騙專線查證。",80
海關通知：您的包裹裡面有未申報的黃金，涉嫌走私，請配合調查。,"這是典型的「假冒海關」或「假檢警」詐騙，請**立刻掛斷電話**。
海關不會以電話通知包裹內有走私品並要求配合調查或匯款，若有疑慮請撥打 165 反詐騙專線。",80
我是國稅局，您去年的所得稅有重複繳納的情況，現在要幫您辦理退稅。,"這是常見的「假冒國稅局退稅」詐騙，請**直接掛斷電話，這是詐騙話術**。
國稅局辦理退稅不會透過電話引導您操作 ATM 或網路銀行，若有任何退稅問題，請撥打官方電話或 165 專線查證。",80
法院通知：您的不動產即將被法拍，若有異議請立刻聯繫執行官。,"這是「假法院」或「假執行官」詐騙，請**立刻掛斷電話，勿理會恐嚇**。
法院的正式通知一定會以**書面郵寄**送達，不會透過電話通知法拍事宜，若有疑慮請撥打 165 專線查證。",80
我是交友軟體認識的John，我寄給你的禮物卡在海關，要付關稅。,"這是典型的「跨國愛情包裹詐騙」，請**立刻封鎖對方，絕對不要匯款**。
海關關稅單會以正式書面通知，絕不會透過網友要求私人轉帳，這全是為了騙取金錢的劇本。",100
這裡是刑事局，我們查獲詐騙集團名冊有您的名字，請不要掛斷，轉接檢察官說明。,"這是最典型的「假檢警」詐騙，請**立刻掛斷電話**。
真正的警察絕對不會在電話中幫您「轉接」給檢察官製作筆錄，這完全是騙局，請直接撥打 165 反詐騙專線求證。",80
媽，我跟朋友在外面出事了，現在在警察局，需要保釋金。,"這是典型的「假冒親友」詐騙，請**立刻掛斷電話**。
請務必撥打子女**原本的手機號碼**確認行蹤，切勿因一時恐慌而直接匯款。",100
我是公家機關，通知您有一筆老人年金可以領取，請提供存摺影本。,"這是常見的「假冒公務機關」詐騙，請**直接掛斷電話，切勿提供資料**。
政府機關核發年金皆以**正式公文**通知，絕不會透過電話索取存摺影本，請撥打 165 反詐騙專線求證。",100
我是地檢署，現在懷疑你涉及詐欺，請不要掛斷電話。,"這是標準的「假檢警」詐騙，請**立刻掛斷電話，千萬別聽信「不能掛斷」的要求**。
檢察官絕對不會透過電話辦案或製作筆錄，請直接撥打 165 反詐騙專線求證。",100
快遞通知，您的包裹裡面有違禁品，被海關扣留了，要繳罰款才能領。,"這是典型的「假快遞海關」詐騙，請**直接掛斷電話，千萬不要匯款**。
海關若查扣違禁品會由司法機關介入處理，絕不會僅透過電話通知並要求轉帳繳納罰款，請撥打 165 查證。",100
我是勞保局，您的勞保年金計算錯誤，多發了五萬元，請匯回指定帳戶。,"這是典型的「假冒公務機關」詐騙，請**直接掛斷電話，千萬不要匯款**。
勞保局絕對不會透過電話要求民眾轉帳退款，所有行政作業都會以**正式公文**通知，請撥打 165 專線求證。",100
我是Line Pay客服，您的帳號被偵測到異常登入，請提供驗證碼解除鎖定。,"這是典型的「假冒客服盜帳號」詐騙，請**立刻掛斷，絕對不要提供任何簡訊驗證碼**。
LINE 官方或客服人員絕不會在電話中向您索取驗證碼，一旦給出，您的帳號就會被盜用。",100
我是你的理財專員，現在有個限時方案，只要投入十萬，下個月領回十二萬。,"這是典型的「假投資」詐騙（龐氏騙局），請**直接掛斷電話，絕對不要匯款**。
任何標榜「高獲利、穩賺不賠」的投資方案都是陷阱，天下沒有白吃的午餐，請撥打 165 反詐騙專線求證。",100
我是百貨公司客服，您遺失的信用卡被人在這裡刷了五萬。,"這是常見的「假冒客服」或「解除分期」詐騙前奏，請**立刻掛斷電話**。
請確認信用卡是否在身邊，並直接撥打**卡片背面的銀行客服電話**查證，切勿聽信對方提供的電話或轉接。",100
你好，我是之前幫你辦保險的專員，現在有新的優惠方案。,"這可能是「裝熟推銷」或詐騙，請**不要輕信，先掛斷電話**。
建議您直接聯繫**原本熟識的保險業務員**或撥打保險公司官方客服查證，切勿在電話中透露個人資料。",100
我是蝦皮賣家，不好意思，工讀生不小心把您的訂單設定成連續扣款12個月。,"這是最典型的「解除分期付款」詐騙，請**直接掛斷電話，絕對不要去操作 ATM 或網銀**。
ATM 或網路銀行**無法**解除任何扣款設定，賣家也無法更改您的銀行扣款方式，請直接撥打 165 反詐騙專線求證。",100
您的Line Pay帳戶顯示異常登入，為了安全請點擊連結重新驗證。,"這是典型的「釣魚簡訊」詐騙，請**絕對不要點擊任何連結**。
LINE Pay 官方不會透過簡訊連結要求重新驗證，若有疑慮請直接開啟 App 確認或撥打 165 求證。",100
您的訂單被系統誤判為詐騙，需要您轉帳一筆錢來證明信用。,"這是典型的「假冒客服」詐騙，請**直接掛斷電話，絕對不要匯款**。
正規平台絕不會要求您透過「轉帳」來證明信用或解除異常，請直接撥打 165 反詐騙專線求證。",100
您的蝦皮賣場因為沒有簽署金流協議，導致無法收款，請聯繫客服處理。,"這是近期非常猖獗的「假蝦皮金流驗證」詐騙，請**千萬不要掃描 QR Code 或點擊任何連結**。
蝦皮官方絕不會透過私訊要求賣家簽署協議，請直接登入**官方賣家中心**確認通知，並撥打 165 反詐騙專線求證。",100
您的訂房網訂單重複扣款，我們會退款給您，請按照指示操作提款機。,"這是標準的「解除分期付款」或「誤刷退款」詐騙，請**立刻掛斷電話，絕對不要去操作 ATM**。
提款機（ATM）與網路銀行**無法**進行退款或解除設定，任何要求操作提款機的指示都是要把您的錢轉走，請撥打 165 求證。",100
您的二手拍賣帳號被停權，因為涉及洗錢，請聯繫客服。,"這是近期常見的「假冒拍賣平台」詐騙，請**不要點擊任何連結或掃描 QR Code**//原文:聯繫客服。
拍賣平台不會透過電話或私訊指控您洗錢，請直接登入官方 APP 確認，並撥打 165 反詐騙專線求證。",0
我是中華電信客服，您的室內電話積欠費用，將在兩小時後停話。,請立即掛斷，這是典型的詐騙手法；若有疑慮，請自行撥打 165 反詐騙專線查證。,60
您的信用卡剛剛在PChome刷了一筆兩萬元的消費，系統判定為異常交易。,這是典型的詐騙電話，請直接掛斷。若有疑慮，請撥打信用卡背面的銀行客服電話或 165 反詐騙專線查證。,80
我是某某遊戲客服，您的帳號涉嫌使用外掛，請繳納保證金解凍。,請直接掛斷電話，遊戲官方絕不會要求繳保證金，有疑問請撥打 165 反詐騙專線查證。,80
我是亞馬遜客服，您有一筆跨國訂單金額過大，需要您確認是否為本人操作。,這是典型的詐騙手法，請立即掛斷電話，有任何疑問請撥打 165 反詐騙專線查證。,60
您的Line Pay涉及洗錢，我們現在要遠端監控您的手機，請下載TeamViewer。,請立刻掛斷電話，這是要求遠端控制手機的詐騙，有任何疑問請直接撥打165求證。,80
如果不立刻解除分期付款設定，銀行會在午夜十二點準時扣款喔。,這是典型的「解除分期付款」詐騙，請立即掛斷電話，有任何疑慮可直接撥打 165 反詐騙專線查證。,80
喂？我是玉山銀行信貸部的陳專員，我們現在有針對優質客戶的低利貸款方案。,請直接掛斷，這是常見的貸款詐騙手法；若有疑問，請自行撥打玉山銀行官方客服電話或 165 查證。,100
您訂購的電影票因為系統維護，需要取消訂單並退款。,這是典型的「訂單錯誤」詐騙手法，請直接掛斷電話，有任何疑問可撥打 165 反詐騙專線查證。,80
網拍賣家通知：不好意思，工讀生把您的訂單誤植為批發商，會扣款12次。,這是典型的「解除分期付款」詐騙，請立即掛斷電話，有疑問直接撥打 165 查證。,80
我是蝦皮資安人員，發現有駭客正在嘗試更改您的銀行帳號，請立刻攔截。,這就是典型的詐騙手法，請立刻掛斷電話，有任何疑問再自行撥打 165 反詐騙專線求證。,60
你好，我是網拍小幫手，因為訂單誤植為12期分期，請依照指示解除。,這是典型的「解除分期付款」詐騙，請立即掛斷電話，並撥打 165 反詐騙專線求證。,80
我是台電通知，您的電費沒繳，請按0轉接客服。,這是典型的詐騙電話，請立即掛斷，切勿按0；若有疑慮，請自行撥打165反詐騙專線查證。,80
我是亞馬遜安全部門，您的帳號有一筆異常的高額訂單，請確認是否為盜刷。,請立刻掛斷電話，這是詐騙，有任何疑慮請撥打 165 反詐騙專線求證。,60
您的網購訂單因為沒有通過實名認證，現在帳號被凍結，請提供個資解鎖。,請立即掛斷電話，這是要求提供個資的詐騙，有任何疑慮請撥打 165 反詐騙專線求證。,80
您的Line Pay帳戶出現異常登入，為了防止盜刷，請提供剛剛收到的六位數驗證碼。,請立即掛斷電話，這就是詐騙；驗證碼絕對不能給任何人，有疑慮請撥打 165 確認。,80
相信我一次，我不會拿自己的信譽開玩笑，這檔股票絕對會噴。,這是典型的「報明牌」投資詐騙，請直接掛斷電話，有疑問可撥打 165 查證。,80
你好，我是虛擬貨幣投資顧問，現在比特幣大跌是進場好時機。,這是典型的投資詐騙，請直接掛斷，不要提供任何資訊或加入群組。,100
只要拉三個朋友進來投資，你就可以升級成鑽石會員，領取更高的佣金。,這是典型的「拉人頭」金字塔騙局手法，請立即掛斷電話，並撥打 165 反詐騙專線查證。,80
您的虛擬貨幣錢包涉及黑錢，請將幣轉到我們的審查地址。,這是典型的詐騙手法，請立即掛斷電話，並撥打 165 反詐騙專線求證。,60
我們需要你幫忙代操股票，虧損算公司的，賺錢分你一成。,這是典型的投資詐騙，請立即掛斷電話，並可撥打 165 確認。,80
為了我們結婚的夢想，你要勇敢一點，去貸款來投資也是值得的。,這是典型的愛情投資詐騙，請立刻掛斷電話，並撥打 165 反詐騙專線求證。,80
我們是海外知名的外匯交易平台，現在開戶入金就送你一千美金的體驗金。,這是典型的投資詐騙，請立即掛斷電話，不要提供任何個資，可撥打 165 諮詢。,100
我們發現博弈網站的後台有漏洞，只要跟著我們的程式下注，絕對穩賺不賠。,這是典型的投資詐騙話術，請立即掛斷電話，有任何疑問都可撥打 165 確認。,80
我是交易所客服，因為您的操作涉及洗錢，我們必須暫時保管您的資金。,請立刻掛斷電話，這是典型的詐騙手法，有任何疑問請馬上撥打 165 反詐騙專線求證。,80
我們是代操公司，虧損由公司吸收，獲利我們五五分帳，你完全沒風險。,這是典型的投資詐騙，請立刻掛斷電話。任何宣稱「穩賺不賠、保證獲利」的都是詐騙，有疑問請撥打 165。,80
先生你好，我是虛擬貨幣交易所的客服，您的錢包因為風險控管被凍結了。,這是典型的詐騙手法，請立即掛斷電話，並撥打 165 反詐騙專線求證。,60
寶貝，這是我要在退休後帶你環遊世界的基金，你先幫我保管一下。,這是典型的愛情詐騙起手式，請直接掛斷電話，並撥打 165 反詐騙專線查證。,80
寶貝，只要這次投資成功，我們就可以在台北買房子，過我們想要的生活。,這是典型的假投資愛情詐騙，請立即停止對話，並撥打 165 反詐騙專線求證。,80
你好，我是投資顧問公司的陳經理，我們現在有一個針對VIP客戶的飆股佈局。,聽到「飆股」就是詐騙，請直接掛斷電話，不要加入任何LINE群組。,0
老婆，這是我千辛萬苦才爭取到的投資名額，千萬不要浪費。,這是典型的假冒親友投資詐騙，請立刻掛斷電話，有任何疑問可撥打 165 反詐騙專線。,80
我是虛擬貨幣大戶，我現在要散財做公益，轉一顆以太幣給我，我還你十顆。,這是典型的「假投資」詐騙，請立即掛斷電話，千萬不要轉帳。,100
親愛的，我不想看你每天工作那麼辛苦，跟著我投資，以後我養你。,這是典型的「假交友結合假投資」詐騙，請直接掛斷電話，並撥打 165 反詐騙專線查證。,80
只要先繳交保險費，就可以獲得這份高風險高報酬的工作。,這就是典型的求職詐騙，請立即掛斷電話，切勿付款或提供任何個人資料。,100
我們公司在招募加密貨幣操盤手，不用經驗，老師會帶你操作，獲利對分。,這是典型的假投資詐騙，請立即掛斷電話，有疑問可撥打 165 反詐騙專線查證。,80
你好，我們是投資顧問公司，老師帶你操作比特幣，穩賺不賠。,這是典型的投資詐騙，聽到「穩賺不賠」請立即掛斷，有疑問可撥打 165 求證。,100
這個投資項目是保本高收益的，一個月利息就有10%，比定存好太多了。,這是典型的投資詐騙話術，請立即掛斷電話，有任何疑問都應撥打 165 反詐騙專線查證。,80
這是灰產工作，雖然遊走法律邊緣，但是獲利非常高，敢不敢拚？,請立即掛斷，並撥打 165 檢舉，這類工作通常是吸收人頭帳戶或車手，會讓您變成詐騙集團的共犯。,80
寶貝，你是我這輩子遇過最特別的人，我不希望你因為沒錢而受苦，快跟著我投資。,這是典型的愛情投資詐騙（殺豬盤），請立刻掛斷電話並封鎖，有任何疑問可撥打 165 反詐騙專線求證。,100
這檔未上市股票有內線消息，主力大戶已經在收籌碼了，要跟要快。,這是典型的投資詐騙，請直接掛斷電話，並可撥打 165 反詐騙專線檢舉。,80
這檔虛擬貨幣是下一個比特幣，現在進場剛好是起漲點，保證獲利300%。,這是典型的投資詐騙，請直接掛斷電話，並撥打 165 反詐騙專線檢舉。,80
,,8440
